Event,Site,Date,EventDate,ECO,Round,White,Black,Result,Moves
World Championship 12th,Havana CUB,1921.04.06,1921.03.15,D34,9,"Capablanca, Jose Raul","Lasker, Emanuel",1/2-1/2,d2d4 d7d5 g1f3 e7e6 c2c4 c7c5 c4d5 e6d5 b1c3 b8c6 g2g3 g8f6 f1g2 c8e6 e1g1 f8e7 d4c5 e7c5 c1g5 d5d4 c3e4 c5e7 e4f6 e7f6 g5f6 d8f6 d1a4 e8g8 a4b5 a8b8 f1d1 h7h6 f3e1 f8e8 d1d2 e6g4 a1c1 e8e5 b5d3 b8e8 g2f3 g4f3
World Championship 12th,Havana CUB,1921.04.08,1921.03.15,D61,10,"Lasker, Emanuel","Capablanca, Jose Raul",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 d1c2 c7c5 a1d1 d8a5 f1d3 h7h6 g5h4 c5d4 e3d4 d5c4 d3c4 d7b6 c4b3 c8d7 e1g1 a8c8 f3e5 d7b5 f1e1 b6d5 b3d5 f6d5 h4e7 d5e7 c2b3 b5c6 e5c6 b7c6 e1e5 a5b6 b3c2 f8d8 c3e2 d8d5 e5d5 c6d5 c2d2 e7f5 b2b3 h6h5 h2h3 h5h4 d2d3 c8c6 g1f1 g7g6 d3b1 b6b4 f1g1 a7a5 b1b2 a5a4 b2d2 b4d2 d1d2 a4b3 a2b3 c6b6 d2d3 b6a6 g2g4 h4g3 f2g3 a6a2 e2c3 a2c2 c3d1 f5e7 d1c3 c2c1 g1f2 e7c6 c3d1 c1b1 f2e2 b1b3 e2e3 b3b4 d1c3 c6e7 c3e2 e7f5 e3f2 g6g5 g3g4 f5d6 e2g1 d6e4 f2f1 b4b1 f1g2 b1b2 g2f1 b2f2 f1e1 f2a2 e1f1 g8g7 d3e3 g7g6 e3d3 f7f6 d3e3 g6f7 e3d3 f7e7 d3e3 e7d6 e3d3 a2f2 f1e1 f2g2 e1f1 g2a2 d3e3 e6e5 e3d3 e5d4 d3d4 d6c5 d4d1 d5d4 d1c1 c5d5
World Championship 12th,Havana CUB,1921.04.13,1921.03.15,D64,11,"Capablanca, Jose Raul","Lasker, Emanuel",1-0,d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 c1g5 b8d7 e2e3 f8e7 b1c3 e8g8 a1c1 f8e8 d1c2 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 e8e7 e1g1 d7f8 f1d1 c8d7 e3e4 d5b6 c4f1 a8c8 b2b4 d7e8 c2b3 e7c7 a2a4 f8g6 a4a5 b6d7 e4e5 b7b6 c3e4 c8b8 b3c3 g6f4 e4d6 f4d5 c3a3 f7f6 d6e8 d8e8 e5f6 g7f6 b4b5 b8c8 b5c6 c7c6 c1c6 c8c6 a5b6 a7b6 d1e1 e8c8 f3d2 d7f8 d2e4 c8d8 h2h4 c6c7 a3b3 c7g7 g2g3 g7a7 f1c4 a7a5 e4c3 d5c3 b3c3 g8f7 c3e3 d8d6 e3e4 a5a4 e4b7 f7g6 b7c8 d6b4 e1c1 b4e7 c4d3 g6h6 c1c7 a4a1 g1g2 e7d6 c8f8
World Championship 12th,Havana CUB,1921.04.16,1921.03.15,C66,12,"Lasker, Emanuel","Capablanca, Jose Raul",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 f1e1 e5d4 f3d4 e8g8 b5f1 f8e8 f2f3 e7f8 c1g5 h7h6 g5h4 g7g6 c3d5 f8g7 d4b5 g6g5 d5c7 g5h4 c7a8 d8a8 b5c7 a8d8 c7e8 f6e8 a1b1 d7e6 c2c3 e6a2 b1a1 a2e6 d1d2 a7a6 d2f2 h6h5 f3f4 g7h6 f1e2 e8f6 f2h4 f6e4 h4d8 c6d8 e2a6 d6d5 a6e2 h6f4 e2h5 f4c7 a1d1
World Championship 12th,Havana CUB,1921.04.19,1921.03.15,D63,13,"Capablanca, Jose Raul","Lasker, Emanuel",1/2-1/2,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 c1g5 f8e7 e2e3 b8d7 b1c3 e8g8 a1c1 f8e8 d1c2 h7h6 g5h4 c7c5 c4d5 f6d5 h4e7 d5e7 d4c5 d7c5 f1b5 c8d7 e1g1 d8b6 b5d7 c5d7 f1d1 e8d8 h2h3 a8c8 c2a4 e7c6 a4b5 a7a6 b5b6 d7b6 d1d8 c6d8 c3e2 g8f8 c1c8 b6c8
World Championship 12th,Havana CUB,1921.04.20,1921.03.15,C66,14,"Lasker, Emanuel","Capablanca, Jose Raul",0-1,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 b1c3 f8e7 b5c6 d7c6 d1d3 e5d4 f3d4 c6d7 c1g5 e8g8 a1e1 h7h6 g5h4 f6h7 h4e7 d8e7 c3d5 e7d8 c2c4 f8e8 f2f4 c7c6 d5c3 d8b6 b2b3 a8d8 g1h1 h7f6 h2h3 d7c8 e1d1 e8e7 f1e1 d8e8 e1e2 b6a5 d1f1 a5h5 h1g1 a7a6 f1f2 h5g6 f2f3 g6h5 f4f5 h5h4 g1h2 f6g4 h2h1 g4e5 d3d2 e5f3 d4f3 h4f6 a2a4 g7g6 f5g6 f7g6 e2e3 c8f5 d2d3 g6g5 f3d2 f5g6 b3b4 f6e6 b4b5 a6b5 a4b5 e8a8 d3b1 e6e5 b1e1 g8h7 b5c6 b7c6 e1g3 e5g3 e3g3 a8a3 h1h2 e7b7 c4c5 d6c5 d2c4 a3a1 c4e5 a1c1 h3h4 b7e7 e5c6 e7e6 c6d8 g5h4 g3d3 e6f6 d3d7 h7h8 c3d5 f6f1 h2h3 g6e4
World Championship 13th,Buenos Aires ARG,1927.09.16,1927.09.16,C01,1,"Capablanca, Jose Raul","Alekhine, Alexander A",0-1,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 b8c6 g1e2 g8e7 e1g1 c8f5 d3f5 e7f5 d1d3 d8d7 c3d1 e8g8 d1e3 f5e3 c1e3 f8e8 e2f4 b4d6 f1e1 c6b4 d3b3 d7f5 a1c1 b4c2 c1c2 f5f4 g2g3 f4f5 c2e2 b7b6 b3b5 h7h5 h2h4 e8e4 e3d2 e4d4 d2c3 d4d3 c3e5 a8d8 e5d6 d8d6 e2e5 f5f3 e5h5 f3h5 e1e8 g8h7 b5d3 h5g6 d3d1 d6e6 e8a8 e6e5 a8a7 c7c5 a7d7 g6e6 d1d3 g7g6 d7d8 d5d4 a2a4 e5e1 g1g2 e6c6 f2f3 e1e3 d3d1 c6e6 g3g4 e3e2 g2h3 e6e3 d1h1 e3f4 h4h5 e2f2
World Championship 13th,Buenos Aires ARG,1927.09.20,1927.09.16,D65,2,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 a1c1 c7c6 d1c2 a7a6 c4d5 f6d5 g5e7 d8e7 f1e2 f8e8 e1g1 d5c3 c2c3 e6e5 f1d1 e5d4 f3d4 d7f6 e2f3 c8g4 f3g4 f6g4 d4f5 e7f6 c3f6 g4f6
World Championship 13th,Buenos Aires ARG,1927.09.21,1927.09.16,A47,3,"Capablanca, Jose Raul","Alekhine, Alexander A",1-0,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 e1g1 c5d4 f3d4 b7g2 g1g2 d7d5 c2c4 e7e6 d1a4 d8d7 d4b5 b8c6 c4d5 e6d5 c1f4 a8c8 f1c1 f8c5 b2b4 c5b4 c1c6 c8c6 a4b4 f6e4 b1d2 e4d2 b4d2 e8g8 a1d1 c6c5 b5d4 f8e8 d4b3 c5c8 e2e3 d7a4 d2d5 c8c2 d1d2 c2a2 d2a2 a4a2 d5c6 e8f8 b3d4 g8h8 f4e5 f7f6 d4e6 f8g8 e5d4 h7h6 h2h4 a2b1 e6g7 b1g6 h4h5 g6f7 g7f5 h8h7 c6e4 g8e8 e4f4 f7f8 f5d6 e8e7 d4f6 f8a8 e3e4 e7g7 f6g7 h7g7 d6f5 g7f7 f4c7
World Championship 13th,Buenos Aires ARG,1927.09.23,1927.09.16,D64,4,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 a1c1 c7c6 a2a3 a7a6 d1c2 f8e8 f1d3 h7h6 g5f4 d5c4 d3c4 b7b5 c4a2 c8b7 e1g1 c6c5 d4c5 d7c5 f1d1 d8b6 f4e5 a8c8 c2e2 c5e4 e5d4 e7c5 c3e4 c5d4 f3d4 b7e4 a2b1 c8c1 d1c1 e4b1 c1b1 e8c8 e2e1 b6c7 h2h3 f6e4 d4e2 c7e5 b1c1 c8c1 e1c1 e5c5 c1c5 e4c5 e2d4 g8f8 b2b4 c5a4 g1f1 a4b6 d4b3 b6c4 b3c5 c4a3 c5a6 f8e7 f1e2 e7d6 e2d3 a3c4 a6c5 f7f5 d3c3 d6d5 c5a6 d5d6 a6c5 c4b6 c5d3 e6e5 c3b3 b6c4 b3c3 d6d5 d3c5 c4d6 c3d3 g7g5 c5a6 e5e4 d3c3 d5c6
World Championship 13th,Buenos Aires ARG,1927.09.27,1927.09.16,D51,5,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 a2a3 f8e7 g1f3 e8g8 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 a1c1 d5c3 c1c3 e6e5 d4e5 d7e5 f3e5 e7e5 e1g1 c8e6 c4e6 e5e6 c3d3 e6f6 d1b3 f6e7 f1d1 a8d8 h2h3 d8d3 d1d3 g7g6 b3d1 e7e5 d1d2 a7a5 d3d7 b7b5 d2c3 e5c3 b2c3 f8c8 g1f1 g8g7 d7a7 a5a4 c3c4 g7f6 a7a5 f6e6 f1e2 b5c4 a5c5 e6d6 c5c4 c8a8 c4d4 d6e6 e2d3 c6c5 d4h4 h7h5 g2g4 h5g4 h4g4 e6d6 g4f4 f7f5 f4h4 d6d5 d3c2 a8a6 c2c3
World Championship 13th,Buenos Aires ARG,1927.09.30,1927.09.16,D67,6,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 e7b4 d1d2 b4d2 e1d2 f8d8 h1d1 d5f6 e4f6 d7f6 c4b3 g8f8 d2e2 f8e7 f3e5 c8d7 f2f3 d7e8 e3e4 f6d7 e5c4 d7b6 c4e3 d8d7 a2a4 a8d8 a4a5 b6a8 d4d5 c6d5 e4d5 d7c7 d5e6 d8d1 e3f5 e7f6 c1d1 f7e6 f5d6 e8g6 d1d4 c7c5 d4b4 b7b6 a5b6 a8b6 e2d2 f6e7 d6e4 g6e4 b4e4 b6d5 b3d5 c5d5 d2c3 a7a5 e4c4 h7h5 h2h4
World Championship 13th,Buenos Aires ARG,1927.10.01,1927.09.16,D52,7,"Capablanca, Jose Raul","Alekhine, Alexander A",1-0,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 b8d7 c1g5 c7c6 e2e3 d8a5 f3d2 f8b4 d1c2 e8g8 g5h4 c6c5 d2b3 a5a4 h4f6 d7f6 d4c5 f6e4 c4d5 b4c3 b2c3 e4c5 a1d1 e6d5 d1d5 c5b3 a2b3 a4c6 d5d4 f8e8 f1d3 c6g2 d3h7 g8f8 h7e4 g2h3 c2d2 c8e6 c3c4 a7a5 h1g1 h3h2 g1h1 h2c7 d2b2 c7c5 e4d5 a8a6 d4e4 a6d6 h1h7 f8e7 b2g7 e7d8 d5e6 f7e6 g7b7 c5b4 b7b4 a5b4 c4c5 d6c6 e4b4 c6c5 h7a7
World Championship 13th,Buenos Aires ARG,1927.10.03,1927.09.16,D62,8,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 b8d7 e2e3 f8e7 b1c3 e8g8 d1c2 c7c5 c4d5 c5d4 f3d4 f6d5 g5e7 d8e7 c3d5 e6d5 f1d3 e7b4 c2d2 d7e5 d3e2 b4d2 e1d2 c8d7 a1c1 f8c8 b2b3 g8f8 f2f4 e5c6 e2b5 f8e7 b5c6 b7c6 c1c5 a7a5 h1c1 e7d6 c1c3 a8a6 d4b5 d6e7 b5d4 e7d6 e3e4 d5e4 d2e3 c8b8 d4f5 d7f5 c5f5 f7f6 c3c4 b8b5 c4d4 d6e6 f5b5 c6b5 d4e4 e6f7 e4d4 a6c6 d4d7 f7g6 e3d2 c6c5 d7a7 b5b4 g2g4 h7h5 h2h3 h5h4 f4f5 g6h6 a7a8 h6h7 d2e3 c5c3
World Championship 13th,Buenos Aires ARG,1927.10.05,1927.09.16,D51,9,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 d1c2 d8a5 c4d5 f6d5 e3e4 d5c3 g5d2 a5a4 c2c3 a7a5 g1f3 f8b4 c3c1 e8g8 a2a3 b4d2 c1d2 e6e5 a1c1 e5d4 c1c4 a4b5 c4d4 b5c5 f1e2 c5e7 e1g1 d7c5 d2e3 c8g4 h2h3 g4f3 e2f3 f8d8 f1d1 c5e6 d4d8 a8d8 e3a7 d8d1 f3d1 e7c7 d1b3 h7h6 b3e6 f7e6 a7d4 c6c5 d4c4 c7e5 f2f4 e5f4 c4e6 g8h7 e6d5 f4c1 g1h2 c1f4
World Championship 13th,Buenos Aires ARG,1927.10.06,1927.09.16,D62,10,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 d1c2 c7c5 c4d5 f6d5 c3d5 e6d5 g5e7 d8e7 f1d3 g7g6 d4c5 d7c5 a1c1 c5d3 c2d3 c8f5 d3d4 f5e4 e1g1 e4f3 g2f3 e7g5 g1h1 g5f5 h1g2 f5g5 g2h1 g5f5
World Championship 13th,Buenos Aires ARG,1927.10.08,1927.09.16,D52,11,"Capablanca, Jose Raul","Alekhine, Alexander A",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 g1f3 d8a5 f3d2 f8b4 d1c2 d5c4 g5f6 d7f6 d2c4 a5c7 a2a3 b4e7 f1e2 e8g8 e1g1 c8d7 b2b4 b7b6 e2f3 a8c8 f1d1 f8d8 a1c1 d7e8 g2g3 f6d5 c4b2 c7b8 b2d3 e7g5 c1b1 b8b7 e3e4 d5c3 c2c3 b7e7 h2h4 g5h6 d3e5 g7g6 e5g4 h6g7 e4e5 h7h5 g4e3 c6c5 b4c5 b6c5 d4d5 e6d5 e3d5 e7e6 d5f6 g7f6 e5f6 d8d1 b1d1 e8c6 d1e1 e6f5 e1e3 c5c4 a3a4 a7a5 f3g2 c6g2 g1g2 f5d5 g2h2 d5f5 e3f3 f5c5 f3f4 g8h7 f4d4 c5c6 c3a5 c4c3 a5a7 h7g8 a7e7 c6b6 e7d7 b6c5 d4e4 c5f2 h2h3 f2f1 h3h2 f1f2 h2h3 c8f8 d7c6 f2f1 h3h2 f1f2 h2h3 f2f1 h3h2 g8h7 c6c4 f1f2 h2h3 f2g1 e4e2 g1f1 h3h2 f1f6 a4a5 f8d8 a5a6 f6f1 c4e4 d8d2 e2d2 c3d2 a6a7 d2d1q a7a8q f1g1 h2h3 d1f1
World Championship 13th,Buenos Aires ARG,1927.10.11,1927.09.16,D64,12,"Alekhine, Alexander A","Capablanca, Jose Raul",1-0,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 d1c2 a7a6 a2a3 h7h6 g5h4 f8e8 c1d1 b7b5 c4b5 c6b5 f1d3 c8b7 e1g1 a8c8 c2b1 d8a5 c3e2 d7b6 f3e5 b6c4 h4f6 e7f6 d3h7 g8f8 e5d7 f8e7 d7c5 a5b6 c5b7 b6b7 h7d3 c8c7 b1a2 e8c8 b2b3 c4d6 a2d2 b7b6 d1c1 e7d7 c1c7 c8c7 d3b1 f6e7 e2f4 d7c8 d2e2 g7g6 f4d3 d6e4 b3b4 c7c3 e2b2 b6c7 d3c5 e7c5 d4c5 c7e5 f2f4 e5g7 b1e4 d5e4 g1f2 g7f6 g2g3 g6g5 f1c1
World Championship 13th,Buenos Aires ARG,1927.10.15,1927.09.16,D63,13,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 h7h6 g5h4 d5c4 f1c4 c7c5 d4c5 d7c5 c4e2 b7b6 e1g1 c8b7 f3d4 f6d5 h4e7 d5e7 b2b4 c5e4 c3e4 b7e4 e2f3 e4f3 d1f3 d8d7 d4c6 a8c8 c6e7 d7e7 c1c6 e7b7 f1c1 f8d8 h2h3 c8c6 f3c6 b7c6 c1c6 d8d1 g1h2 d1d3
World Championship 13th,Buenos Aires ARG,1927.10.14,1927.09.16,D65,14,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 d7d5 c2c4 e7e6 g1f3 b8d7 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 a1c1 c7c6 d1c2 a7a6 a2a3 h7h6 g5h4 f8e8 c4d5 e6d5 f1d3 f6h5 h4e7 e8e7 e1g1 h5f6 h2h3 f6e8 c3e2 e8d6 e2g3 d7f8 f3e5 f7f6 e5g6 f8g6 d3g6 c8e6 g3e2 d8d7 e2f4 e6f5 g6f5 d7f5 c2f5 d6f5 f4d3 f5d6
World Championship 13th,Buenos Aires ARG,1927.10.15,1927.09.16,D63,15,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 h7h6 g5h4 d5c4 f1c4 c7c5 d4c5 d7c5 c4e2 b7b6 d1d8 e7d8 e1g1 c5b3 c1d1 c8b7 f3d2 b3d2 d1d2 f6e4 c3e4 d8h4 e4d6 b7d5 e3e4 f8d8 d6f7 g8f7 e4d5 d8d5 d2d5 e6d5 f1d1 h4f6 e2f3 a8c8 f3d5 f7e7 b2b3 f6b2 a3a4 c8c1 d1c1 b2c1 d5c4
World Championship 13th,Buenos Aires ARG,1927.10.17,1927.09.16,D67,16,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 e7b4 d1d2 b4d2 e1d2 b7b6 e3e4 f8d8 e4e5 f6e8 d2e3 c8b7 h1d1 c6c5 d4d5 e6d5 c4d5 b7d5 d1d5 e8c7 d5d2 d7f8 c1d1 d8d2 d1d2
World Championship 13th,Buenos Aires ARG,1927.10.18,1927.09.16,D63,17,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 b7b6 c4d5 e6d5 f1d3 c8b7 e1g1 c7c5 d4c5 b6c5 d1e2 f8e8 d3c2 d8b6 f1d1 a8d8 c3a4 b6b5 e2b5 a6b5 a4c3 b7c6 c2d3 c5c4 d3f5 b5b4 a3b4 e7b4 f3d4 c6b7 f5d7 d8d7 g5f6 g7f6 d4e2 b4d6 c1c2 d6e5 c2d2 d7c7 d1a1 g8g7 g2g3 c7c5 a1a7 e8b8 e2d4 g7g6 f2f4 e5c7 g1f2 c5a5 a7a5 c7a5 g3g4 h7h5 g4h5 g6h5 f2f3 b8g8 d2g2 g8g2 f3g2 h5g4 h2h3 g4h4 d4f5 h4h5 g2g3 a5b4 f5d4 h5g6 g3g4 f6f5 g4g3 g6f6 d4f3 b4c5 g3f2 c5b4 f3e5 b4d6 e5f3 d6b4 h3h4 f6g6 c3e2 b7c8 e2g3 c8e6 h4h5 g6h6 f2e2 b4e7 e2d2 e7d8 f3d4 e6c8 d2c2 d8a5 c2d1 a5b4 d1e2 c8d7
World Championship 13th,Buenos Aires ARG,1927.10.20,1927.09.16,D67,18,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 e7b4 d1d2 b4d2 e1d2 f8d8 d2e2 b7b6 h1d1 c8b7 d1d2 g8f8 c1d1 f8e7 e3e4 h7h6 h2h3 g7g6 d2d3 c6c5 d4c5 d7c5 d3d8 a8d8 d1d8 e7d8 f3e5 d8e7 f2f3 f6d7 e5d7 c5d7 e2d3
World Championship 13th,Buenos Aires ARG,1927.10.22,1927.09.16,D63,19,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 h7h6 g5h4 d5c4 f1c4 c7c5 c4e2 c5d4 f3d4 d7b6 h4g3 b6d5 c3d5 f6d5 e1g1 e7f6 d1b3 f6d4 e3d4 b7b6 e2f3 c8b7 g3c7 d8d7 f3d5 d7d5 b3d5 b7d5
World Championship 13th,Buenos Aires ARG,1927.10.24,1927.09.16,D67,20,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 e7b4 d1d2 b4d2 e1d2 f8d8 c4d3 e6e5 d4e5 f6g4 e5e6 d7e5 f3e5 g4e5 e6f7 g8f7 c1c3 b7b5 f2f4 b5b4 f4e5 b4c3 d2c3 f7e6 g3e2 e6e5 e2d4 c8b7 d3h7 c6c5 d4f3 e5f6 h7d3 d8e8 h1e1 b7f3 g2f3 e8h8 e1e2 h8h4 d3e4 a8d8 a2a4 g7g5 a4a5 g5g4 f3g4 h4g4 e4d3 g4a4 e2f2 f6e7 a5a6 d8f8 f2g2 c5c4 d3c4 f8c8 b2b3 a4a6 e3e4 a6a1 c3d4 c8h8
World Championship 13th,Buenos Aires ARG,1927.10.26,1927.09.16,D63,21,"Capablanca, Jose Raul","Alekhine, Alexander A",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 a2a3 h7h6 g5h4 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 c7c5 d4c5 d7c5 f3d4 a8c8 b2b4 c5d7 h4g3 d7b6 d1b3 f6d5 e2f3 c8c4 c3e4 d8c8 c1c4 b6c4 f1c1 c8a8 e4c3 f8c8 c3d5 b7d5 f3d5 a8d5 a3a4 e7f6 d4f3 f6b2 c1e1 c8d8 a4b5 a6b5 h2h3 e6e5 e1b1 e5e4 f3d4 b2d4 b1d1 c4e3
World Championship 13th,Buenos Aires ARG,1927.10.28,1927.09.16,D67,22,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 e7b4 d1d2 b4d2 e1d2 f8d8 h1d1 b7b6 e3e4 c8b7 e4e5 f6e8 d2e3 g8f8 f3g5 h7h6 g5e4 f8e7 f2f4 f7f5 e4c3 e8c7 g3e2 g7g5 h2h4 g5g4 e2g3 a7a5 c4b3 a8c8 a2a3 d8f8 d1d2 b7a8 d2c2 c6c5 d4c5 d7c5 c3a4 c7a6 b3e6 e7e6 a4b6 c8b8 b6a8 b8b3 c2c3 b3c3 b2c3 f8a8 c1d1 a8f8 d1d6 e6e7 d6h6 a6c7 h6h7 e7d8 c3c4 c7e6 h7a7 e6c7 a7a5 c5e6 h4h5 d8d7 h5h6 e6f4 e3f4 c7e6 f4e3 f5f4 e3f2 f4g3 f2g3 f8h8 a5d5 d7e7 c4c5 h8h6 c5c6 e6f8 d5c5 e7d8 g3g4 h6g6 g4f3 d8c7 g2g4 f8e6 c5d5 e6d8 d5c5 d8e6 c5d5 e6f8 d5a5 g6c6 f3e4 c6c1 a5a7 c7c6 a7a6 c6d7 a6a7 d7e6 a7a6 e6e7 a3a4 f8d7 a6h6 c1e1 e4d4 d7e5 a4a5 e5g4 h6h7 e7d6 a5a6 e1a1 a6a7 g4f6 h7b7 f6d7 b7b2 a1a7 b2d2 d7c5 d4c4 d6c6 d2h2 a7a4 c4c3 a4g4 c3d2 g4g3 h2h5 c6b5 d2e2 b5c4 h5h4 c4c3 e2f2 g3d3 h4f4 c3d2 f2g2 d3d5 g2f3 d2d3
World Championship 13th,Buenos Aires ARG,1927.11.01,1927.09.16,D63,23,"Capablanca, Jose Raul","Alekhine, Alexander A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 a7a6 c4d5 e6d5 f1d3 c7c6 e1g1 f6e8 g5e7 d8e7 e3e4 d5e4 c3e4 d7f6 d1c2 f6e4 d3e4 e8f6 e4f5 c8f5 c2f5 a8d8 f1e1 e7b4 f5c2 f8e8 a2a3 b4d6 c2b3 e8e1 c1e1 d6d7 h2h3 h7h6 e1e3 f6d5 f3e5 d7c7 e3e1 c7b6 b3b6 d5b6 e5f3 g8f8 e1e3 b6c4 e3c3 c4d6 g1f1 f7f6 f1e2 d6b5 c3c4 f8e7 e2d3 e7e6 c4c1 d8d5 a3a4 b5c7 f3d2 e6e7 d2b3 c7e6 d3e3 e7d6 c1c2 h6h5 h3h4 g7g6 f2f3 b7b6 g2g4 a6a5 c2g2 g6g5 g2h2 h5g4 f3g4 g5h4 h2h4 d5g5 b3d2
World Championship 13th,Buenos Aires ARG,1927.11.03,1927.09.16,D67,24,"Alekhine, Alexander A","Capablanca, Jose Raul",1/2-1/2,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 e7b4 d1d2 b4d2 e1d2 f8d8 h1d1 b7b6 e3e4 c8b7 e4e5 f6e8 d2e3 g8f8 f3g5 h7h6 g5e4 f8e7 f2f4 f7f5 e4c3 e8c7 g3e2 g7g5 h2h4 g5g4 e2g3 a7a5 c4b3 b6b5 d4d5 c6d5 c3e2 a8c8 e2d4 d7b6 c1c5 a5a4 b3c2 b6d7 c5c3 b5b4 c3c6 b7c6 d4c6 e7e8 c6d8 e8d8 c2a4 d7b6 a4b3 c7a6 g3e2 d8d7 d1d4 c8c5 e3d2 c5c8 d2e3
